id_hecho,anio,id_localidad,id_evento,casos_zoonosis,cobertura_vacuna,pct_cumplimiento
1,2021,1,5,1,37.1,29
2,2021,2,5,2,19.3,92
3,2021,3,5,3,36.0,2
4,2021,4,5,2,20.9,93
5,2021,5,5,13,71.8,10
6,2021,6,5,6,30.8,87
7,2021,7,5,4,18.8,17
8,2021,8,5,5,20.4,9
9,2021,10,5,1,41.0,20
10,2021,12,5,1,77.0,8
11,2021,13,5,3,68.9,46
12,2021,14,5,4,53.1,33
13,2021,15,5,3,33.2,93
14,2021,16,5,2,115.9,0
15,2021,17,5,4,4.8,95
16,2021,18,5,2,58.6,8
17,2021,19,5,5,18.1,87
18,2021,20,5,7,79.8,11
19,2021,6,14,1,30.8,87
20,2021,15,14,1,33.2,93
21,2021,19,14,1,18.1,87
22,2021,15,23,1,33.2,93
23,2021,17,23,1,4.8,95
24,2021,1,25,2,37.1,29
25,2021,2,25,1,19.3,92
26,2021,3,25,3,36.0,2
27,2021,9,25,1,45.9,25
28,2021,4,25,7,20.9,93
29,2021,5,25,3,71.8,10
30,2021,6,25,4,30.8,87
31,2021,7,25,1,18.8,17
32,2021,8,25,4,20.4,9
33,2021,10,25,2,41.0,20
34,2021,11,25,2,29.1,16
35,2021,12,25,2,77.0,8
36,2021,13,25,3,68.9,46
37,2021,15,25,2,33.2,93
38,2021,16,25,1,115.9,0
39,2021,17,26,1,4.8,95
40,2021,17,25,2,4.8,95
41,2021,19,26,1,18.1,87
42,2021,19,25,9,18.1,87
43,2021,20,25,5,79.8,11
44,2021,15,36,1,33.2,93
45,2021,19,39,1,18.1,87
46,2021,4,41,1,20.9,93
47,2021,12,41,1,77.0,8
48,2021,13,41,1,68.9,46
49,2021,20,42,1,79.8,11
50,2022,19,2,1,62.8,122
51,2022,7,3,3,61.2,32
52,2022,2,5,2,65.6,100
53,2022,3,5,8,69.2,4
54,2022,9,5,1,39.0,0
55,2022,4,5,2,68.8,95
56,2022,5,5,16,73.3,20
57,2022,6,6,1,66.7,96
58,2022,6,5,5,66.7,96
59,2022,7,6,1,61.2,32
60,2022,7,5,4,61.2,32
61,2022,8,5,6,60.1,13
62,2022,11,5,1,29.3,41
63,2022,12,5,8,75.6,15
64,2022,13,5,5,78.2,44
65,2022,14,5,7,39.9,33
66,2022,15,5,3,70.4,106
67,2022,17,5,1,66.8,123
68,2022,18,5,4,61.2,3
69,2022,19,5,6,62.8,122
70,2022,20,5,11,73.0,11
71,2022,4,17,2,68.8,95
72,2022,6,17,1,66.7,96
73,2022,12,17,2,75.6,15
74,2022,18,17,1,61.2,3
