A¤o;C¢d_loc;localidad;Sector publico;sector_privado;denominador;Cobertura
2013;1;Usaqu‚n;11070;;79724;13,9
2013;2;Chapinero;1776;;12307;14,4
2013;3;Santa Fe;6029;;10129;59,5
2013;4;San Cristobal;17523;;53039;33
2013;5;Usme;17984;;11139;161,5
2013;6;Tunjuelito;5879;;13877;42,4
2013;7;Bosa;21789;;47961;45,4
2013;8;Kennedy;19962;;95480;20,9
2013;9;Fontib¢n;7949;;38926;20,4
2013;10;Engativ ;14717;;104293;14,1
2013;11;Suba;29608;;99305;29,8
2013;12;Barrios Unidos;3361;;23859;14,1
2013;13;Teusaquillo;1571;;21822;7,2
2013;14;Los M rtires;3213;;8677;37
2013;15;Antonio Nari¤o;976;;8170;11,9
2013;16;Puente Aranda;4607;;22878;20,1
2013;17;Candelaria;989;;2256;43,8
2013;18;Rafael Uribe;16795;;35438;47,4
2013;19;Ciudad Bol¡var;29301;;68754;42,6
2013;20;Sumapaz;1245;;1725;72,2
2013;0;Distrito;216344;250700;759759;61,5
2014;1;Usaqu‚n;13932;;88043;15,8
2014;2;Chapinero;6653;;28363;23,5
2014;3;Santa Fe;7637;;25507;29,9
2014;4;San Cristobal;26003;;68696;37,9
2014;5;Usme;22135;;45994;48,1
2014;6;Tunjuelito;5791;;36173;16
2014;7;Bosa;23956;;65113;36,8
2014;8;Kennedy;22004;;248827;8,8
2014;9;Fontib¢n;6267;;29475;21,3
2014;10;Engativ ;15976;;142368;11,2
2014;11;Suba;41083;;154602;26,6
2014;12;Barrios Unidos;2417;;15064;16
2014;13;Teusaquillo;1713;;24170;7,1
2014;14;Los M rtires;4062;;15372;26,4
2014;15;Antonio Nari¤o;3183;;20170;15,8
2014;16;Puente Aranda;4155;;47456;8,8
2014;17;Candelaria;1544;;6153;25,1
2014;18;Rafael Uribe;25779;;69363;37,2
2014;19;Ciudad Bol¡var;41173;;131419;31,3
2014;20;Sumapaz;1302;;1251;104,1
2014;0;Distrito;276765;446933;1263579;57,3
2015;1;Usaqu‚n;10871;;73245;14,8
2015;2;Chapinero;4311;;27751;15,5
2015;3;Santa Fe;7893;;19116;41,3
2015;4;San Cristobal;30682;;49503;62
2015;5;Usme;30142;;97746;30,8
2015;6;Tunjuelito;5916;;36864;16
2015;7;Bosa;21830;;38682;56,4
2015;8;Kennedy;28414;;209307;13,6
2015;9;Fontib¢n;7593;;24372;31,2
2015;10;Engativ ;18075;;142815;12,7
2015;11;Suba;30377;;172633;17,6
2015;12;Barrios Unidos;2030;;15050;13,5
2015;13;Teusaquillo;1884;;26308;7,2
2015;14;Los M rtires;3079;;12562;24,5
2015;15;Antonio Nari¤o;3061;;25030;12,2
2015;16;Puente Aranda;6404;;31288;20,5
2015;17;Candelaria;1168;;4783;24,4
2015;18;Rafael Uribe;22443;;71231;31,5
2015;19;Ciudad Bol¡var;30260;;114336;26,5
2015;20;Sumapaz;1084;;862;125,8
2015;0;Distrito;267517;513865;1193484;65,5
2016;1;Usaqu‚n;7829;;48562;16,1
2016;2;Chapinero;5455;;24423;22,3
2016;3;Santa Fe;8209;;13607;60,3
2016;4;San Cristobal;28113;;33198;84,7
2016;5;Usme;50997;;212601;24
2016;6;Tunjuelito;6227;;35598;17,5
2016;7;Bosa;17601;;26619;66,1
2016;8;Kennedy;45629;;181998;25,1
2016;9;Fontib¢n;5598;;17930;31,2
2016;10;Engativ ;23525;;141219;16,7
2016;11;Suba;34172;;185129;18,5
2016;12;Barrios Unidos;2093;;10845;19,3
2016;13;Teusaquillo;4402;;26192;16,8
2016;14;Los M rtires;2949;;10129;29,1
2016;15;Antonio Nari¤o;5215;;28850;18,1
2016;16;Puente Aranda;6024;;23430;25,7
2016;17;Candelaria;1259;;4075;30,9
2016;18;Rafael Uribe;27285;;75998;35,9
2016;19;Ciudad Bol¡var;44369;;95002;46,7
2016;20;Sumapaz;1054;;650;162,2
2016;0;Distrito;328005;428339;1196055;63,2
2017;1;Usaqu‚n;9404;;35131;26,8
2017;2;Chapinero;5188;;22973;22,6
2017;3;Santa Fe;7479;;11828;63,2
2017;4;San Cristobal;30549;;28318;107,9
2017;5;Usme;41890;;369706;11,3
2017;6;Tunjuelito;7406;;33884;21,9
2017;7;Bosa;14315;;19903;71,9
2017;8;Kennedy;32187;;153466;21
2017;9;Fontib¢n;5730;;15572;36,8
2017;10;Engativ ;32376;;117795;27,5
2017;11;Suba;39139;;182807;21,4
2017;12;Barrios Unidos;3576;;8095;44,2
2017;13;Teusaquillo;2075;;26258;7,9
2017;14;Los M rtires;3458;;8397;41,2
2017;15;Antonio Nari¤o;4546;;34306;13,3
2017;16;Puente Aranda;4060;;22820;17,8
2017;17;Candelaria;1557;;3938;39,5
2017;18;Rafael Uribe;33763;;87389;38,6
2017;19;Ciudad Bol¡var;42151;;79273;53,2
2017;20;Sumapaz;708;;610;116,1
2017;0;Distrito;321557;469331;1262469;62,6
2018;1;Usaqu‚n;10771;;33656;32
2018;2;Chapinero;9859;;21834;45,2
2018;3;Santa Fe;6722;;8957;75
2018;4;San Cristobal;34059;;20499;166,1
2018;5;Usme;44326;;408181;10,9
2018;6;Tunjuelito;12878;;33372;38,6
2018;7;Bosa;11895;;9745;122,1
2018;8;Kennedy;45028;;123136;36,6
2018;9;Fontib¢n;4004;;11984;33,4
2018;10;Engativ ;41476;;78645;52,7
2018;11;Suba;45994;;170434;27
2018;12;Barrios Unidos;3988;;6318;63,1
2018;13;Teusaquillo;7622;;26878;28,4
2018;14;Los M rtires;3569;;6024;59,2
2018;15;Antonio Nari¤o;5339;;32100;16,6
2018;16;Puente Aranda;10264;;20237;50,7
2018;17;Candelaria;1593;;3097;51,4
2018;18;Rafael Uribe;37693;;72815;51,8
2018;19;Ciudad Bol¡var;47077;;59808;78,7
2018;20;Sumapaz;543;;582;93,3
2018;0;Distrito;384700;416353;1148312;69,8
2019;1;Usaqu‚n;10267;;76392;13,4
2019;2;Chapinero;2803;;25550;11
2019;3;Santa Fe;7798;;27474;28,4
2019;4;San Cristobal;42022;;77402;54,3
2019;5;Usme;37727;;71088;53,1
2019;6;Tunjuelito;8987;;27620;32,5
2019;7;Bosa;38570;;88445;43,6
2019;8;Kennedy;36802;;146906;25,1
2019;9;Fontib¢n;15135;;99455;15,2
2019;10;Engativ ;28596;;120303;23,8
2019;11;Suba;34972;;127180;27,5
2019;12;Barrios Unidos;3064;;34612;8,9
2019;13;Teusaquillo;4402;;20068;21,9
2019;14;Los M rtires;4293;;15379;27,9
2019;15;Antonio Nari¤o;4445;;15133;29,4
2019;16;Puente Aranda;8994;;47999;18,7
2019;17;Candelaria;1782;;5353;33,3
2019;18;Rafael Uribe;29075;;61758;47,1
2019;19;Ciudad Bol¡var;60515;;122076;49,6
2019;20;Sumapaz;511;;627;81,5
2019;0;Distrito;380760;410097;1210820;65,3
2020;1;Usaqu‚n;6071;;76392;7,9
2020;2;Chapinero;3095;;25550;12,1
2020;3;Santa Fe;9218;;27474;33,6
2020;4;San Cristobal;30393;;77402;39,3
2020;5;Usme;27820;;71088;39,1
2020;6;Tunjuelito;9470;;27620;34,3
2020;7;Bosa;22954;;88445;26
2020;8;Kennedy;15091;;146906;10,3
2020;9;Fontib¢n;9408;;99455;9,5
2020;10;Engativ ;20630;;120303;17,1
2020;11;Suba;22462;;127180;17,7
2020;12;Barrios Unidos;3148;;34612;9,1
2020;13;Teusaquillo;695;;20068;3,5
2020;14;Los M rtires;3415;;15379;22,2
2020;15;Antonio Nari¤o;2940;;15133;19,4
2020;16;Puente Aranda;5067;;47999;10,6
2020;17;Candelaria;1683;;5353;31,4
2020;18;Rafael Uribe;20431;;61758;33,1
2020;19;Ciudad Bol¡var;35559;;122076;29,1
2020;20;Sumapaz;357;;627;56,9
2020;0;Distrito;249907;414162;1210820;54,8
2021;1;Usaqu‚n;13817;;76392;18,1
2021;2;Chapinero;5352;;25550;20,9
2021;3;Santa Fe;14583;;27474;53,1
2021;4;San Cristobal;53321;;77402;68,9
2021;5;Usme;56734;;71088;79,8
2021;6;Tunjuelito;16180;;27620;58,6
2021;7;Bosa;31797;;88445;36
2021;8;Kennedy;29966;;146906;20,4
2021;9;Fontib¢n;18674;;99455;18,8
2021;10;Engativ ;37035;;120303;30,8
2021;11;Suba;42173;;127180;33,2
2021;12;Barrios Unidos;6687;;34612;19,3
2021;13;Teusaquillo;964;;20068;4,8
2021;14;Los M rtires;6308;;15379;41
2021;15;Antonio Nari¤o;5614;;15133;37,1
2021;16;Puente Aranda;13950;;47999;29,1
