Año;localidad;Numerador;denominador;Resultado;Sub Red
2019;Distrito;507;1410;36%;
2020;Distrito;608;1073;57%;
2021;Distrito;707;1367;52%;
2022;Distrito;914;1320;69%;
2023;Distrito;894;1320;68%;
2019;Usaquén;101;152;66%;Norte
2020;Usaquén;118;133;89%;Norte
2021;Usaquén;138;158;87%;Norte
2022;Usaquén;187;153;122%;Norte
2023;Usaquén;122;153;80%;Norte
2019;Chapinero;11;25;44%;Norte
2020;Chapinero;19;23;83%;Norte
2021;Chapinero;26;28;93%;Norte
2022;Chapinero;37;39;95%;Norte
2023;Chapinero;28;39;72%;Norte
2019;Santa Fe;4;8;50%;Centro Oriente
2020;Santa Fe;3;8;38%;Centro Oriente
2021;Santa Fe;3;9;33%;Centro Oriente
2022;Santa Fe;3;9;33%;Centro Oriente
2023;Santa Fe;5;9;56%;Centro Oriente
2019;San Cristóbal;8;32;25%;Centro Oriente
2020;San Cristóbal;10;25;40%;Centro Oriente
2021;San Cristóbal;13;28;46%;Centro Oriente
2022;San Cristóbal;15;34;44%;Centro Oriente
2023;San Cristóbal;22;34;65%;Centro Oriente
2019;Usme;5;34;15%;Sur
2020;Usme;4;28;14%;Sur
2021;Usme;3;27;11%;Sur
2022;Usme;3;27;11%;Sur
2023;Usme;9;27;33%;Sur
2019;Tunjuelito;0;36;0%;Sur
2020;Tunjuelito;1;26;4%;Sur
2021;Tunjuelito;2;26;8%;Sur
2022;Tunjuelito;1;29;3%;Sur
2023;Tunjuelito;15;29;52%;Sur
2019;Bosa;4;88;5%;Sur Occidente
2020;Bosa;1;59;2%;Sur Occidente
2021;Bosa;2;91;2%;Sur Occidente
2022;Bosa;3;80;4%;Sur Occidente
2023;Bosa;39;80;49%;Sur Occidente
2019;Kennedy;10;240;4%;Sur Occidente
2020;Kennedy;17;109;16%;Sur Occidente
2021;Kennedy;17;188;9%;Sur Occidente
2022;Kennedy;21;156;13%;Sur Occidente
2023;Kennedy;88;156;56%;Sur Occidente
2019;Fontibón;4;65;6%;Sur Occidente
2020;Fontibón;9;55;16%;Sur Occidente
2021;Fontibón;16;93;17%;Sur Occidente
2022;Fontibón;20;62;32%;Sur Occidente
2023;Fontibón;58;62;94%;Sur Occidente
2019;Engativá;111;192;58%;Norte
2020;Engativá;126;149;85%;Norte
2021;Engativá;151;174;87%;Norte
2022;Engativá;175;182;96%;Norte
2023;Engativá;124;182;68%;Norte
2019;Suba;137;232;59%;Norte
2020;Suba;170;185;92%;Norte
2021;Suba;198;213;93%;Norte
2022;Suba;263;247;106%;Norte
2023;Suba;171;247;69%;Norte
2019;Barrios Unidos;31;54;57%;Norte
2020;Barrios Unidos;42;41;102%;Norte
2021;Barrios Unidos;49;53;92%;Norte
2022;Barrios Unidos;58;58;100%;Norte
2023;Barrios Unidos;44;58;76%;Norte
2019;Teusaquillo;42;53;79%;Norte
2020;Teusaquillo;52;42;124%;Norte
2021;Teusaquillo;57;60;95%;Norte
2022;Teusaquillo;74;60;123%;Norte
2023;Teusaquillo;46;60;77%;Norte
2019;Los Mártires;7;15;47%;Centro Oriente
2020;Los Mártires;7;14;50%;Centro Oriente
2021;Los Mártires;3;15;20%;Centro Oriente
2022;Los Mártires;8;13;62%;Centro Oriente
2023;Los Mártires;11;13;85%;Centro Oriente
2019;Antonio Nariño;12;21;57%;Centro Oriente
