Año;Localidad;Casos notificados;Evento;Especie;Otro_especie;Sub Red
2021;Antonio Nariño;1;Brucelósis;Caninos;;Centro Oriente
2021;Barrios Unidos;2;Brucelósis;Caninos;;Norte
2021;Bosa;3;Brucelósis;Caninos;;Sur Occidente
2021;Chapinero;2;Brucelósis;Caninos;;Norte
2021;Ciudad Bolívar;13;Brucelósis;Caninos;;Sur
2021;Distrito;68;Brucelósis;Caninos;;
2021;Engativá;6;Brucelósis;Caninos;;Norte
2021;Fontibón;4;Brucelósis;Caninos;;Sur Occidente
2021;Kennedy;5;Brucelósis;Caninos;;Sur Occidente
2021;Los Mártires;1;Brucelósis;Caninos;;Centro Oriente
2021;Rafael Uribe;1;Brucelósis;Caninos;;Centro Oriente
2021;San Cristobal;3;Brucelósis;Caninos;;Centro Oriente
2021;Santa Fe;4;Brucelósis;Caninos;;Centro Oriente
2021;Suba;3;Brucelósis;Caninos;;Norte
2021;Sumapaz;2;Brucelósis;Caninos;;Sur
2021;Teusaquillo;4;Brucelósis;Caninos;;Norte
2021;Tunjuelito;2;Brucelósis;Caninos;;Sur
2021;Usaquén;5;Brucelósis;Caninos;;Norte
2021;Usme;7;Brucelósis;Caninos;;Sur
2021;Distrito;3;Dermatomicosis;Felinos;;
2021;Engativá;1;Dermatomicosis;Felinos;;Norte
2021;Suba;1;Dermatomicosis;Felinos;;Norte
2021;Usaquén;1;Dermatomicosis;Felinos;;Norte
2021;Distrito;2;Leishmaniasis;Caninos;;
2021;Suba;1;Leishmaniasis;Caninos;;Norte
2021;Teusaquillo;1;Leishmaniasis;Caninos;;Norte
2021;Antonio Nariño;2;Leptospirósis;Caninos;;Centro Oriente
2021;Barrios Unidos;1;Leptospirósis;Caninos;;Norte
2021;Bosa;3;Leptospirósis;Caninos;;Sur Occidente
2021;La Candelaria;1;Leptospirósis;Caninos;;Centro Oriente
2021;Chapinero;7;Leptospirósis;Caninos;;Norte
2021;Ciudad Bolívar;3;Leptospirósis;Caninos;;Sur
2021;Distrito;2;Leptospirósis;Felinos;;
2021;Distrito;54;Leptospirósis;Caninos;;
2021;Engativá;4;Leptospirósis;Caninos;;Norte
2021;Fontibón;1;Leptospirósis;Caninos;;Sur Occidente
2021;Kennedy;4;Leptospirósis;Caninos;;Sur Occidente
2021;Los Mártires;2;Leptospirósis;Caninos;;Centro Oriente
2021;Puente Aranda;2;Leptospirósis;Caninos;;Sur Occidente
2021;Rafael Uribe;2;Leptospirósis;Caninos;;Centro Oriente
2021;San Cristobal;3;Leptospirósis;Caninos;;Centro Oriente
2021;Suba;2;Leptospirósis;Caninos;;Norte
2021;Sumapaz;1;Leptospirósis;Caninos;;Sur
2021;Teusaquillo;1;Leptospirósis;Felinos;;Norte
2021;Teusaquillo;2;Leptospirósis;Caninos;;Norte
2021;Usaquén;1;Leptospirósis;Felinos;;Norte
2021;Usaquén;9;Leptospirósis;Caninos;;Norte
2021;Usme;5;Leptospirósis;Caninos;;Sur
2021;Distrito;1;Sarna Demodécica;Caninos;;
2021;Suba;1;Sarna Demodécica;Caninos;;Norte
2021;Distrito;1;Sarna Sarcóptica;Felinos;;
2021;Usaquén;1;Sarna Sarcóptica;Felinos;;Norte
2021;Chapinero;1;Toxoplasmosis;Caninos;;Norte
2021;Distrito;1;Toxoplasmosis;Felinos;;
2021;Distrito;3;Toxoplasmosis;Caninos;;
2021;Rafael Uribe;1;Toxoplasmosis;Caninos;;Centro Oriente
2021;San Cristobal;1;Toxoplasmosis;Caninos;;Centro Oriente
2021;Usme;1;Toxoplasmosis;Felinos;;Sur
2022;Distrito;1;Anticuerpos Borrelia Burgdorferi;Caninos;;
2022;Usaquén;1;Anticuerpos Borrelia Burgdorferi;Caninos;;Norte
2022;Distrito;1;Bartonella;Felinos;;
2022;Fontibón;3;Bartonella;Felinos;;Sur Occidente
2022;Barrios Unidos;2;Brucelósis;Caninos;;Norte
2022;Bosa;8;Brucelósis;Caninos;;Sur Occidente
2022;La Candelaria;1;Brucelósis;Caninos;;Centro Oriente
2022;Chapinero;2;Brucelósis;Caninos;;Norte
2022;Ciudad Bolívar;16;Brucelósis;Caninos;;Sur
2022;Distrito;2;Brucelósis;Felinos;;
2022;Distrito;90;Brucelósis;Caninos;;
2022;Engativá;1;Brucelósis;Felinos;;Norte
2022;Engativá;5;Brucelósis;Caninos;;Norte
2022;Fontibón;1;Brucelósis;Felinos;;Sur Occidente
2022;Fontibón;4;Brucelósis;Caninos;;Sur Occidente
2022;Kennedy;6;Brucelósis;Caninos;;Sur Occidente
2022;Puente Aranda;1;Brucelósis;Caninos;;Sur Occidente
2022;Rafael Uribe;8;Brucelósis;Caninos;;Centro Oriente
2022;San Cristobal;5;Brucelósis;Caninos;;Centro Oriente
2022;Santa Fe;7;Brucelósis;Caninos;;Centro Oriente
2022;Suba;3;Brucelósis;Caninos;;Norte
2022;Teusaquillo;1;Brucelósis;Caninos;;Norte
2022;Tunjuelito;4;Brucelósis;Caninos;;Sur
2022;Usaquén;6;Brucelósis;Caninos;;Norte
2022;Usme;11;Brucelósis;Caninos;;Sur
2022;Chapinero;2;Ehrlichia Canis;Caninos;;Norte
2022;Distrito;7;Ehrlichia Canis;Caninos;;
2022;Engativá;1;Ehrlichia Canis;Caninos;;Norte
2022;Rafael Uribe;2;Ehrlichia Canis;Caninos;;Centro Oriente
2022;Tunjuelito;1;Ehrlichia Canis;Caninos;;Sur
2022;Usaquén;1;Ehrlichia Canis;Caninos;;Norte
2022;Chapinero;2;Leishmaniasis;Caninos;;Norte
2022;Distrito;2;Leishmaniasis;Caninos;;
2022;Antonio Nariño;7;Leptospirósis;Caninos;;Centro Oriente
2022;Barrios Unidos;6;Leptospirósis;Caninos;;Norte
2022;Bosa;6;Leptospirósis;Caninos;;Sur Occidente
2022;Chapinero;2;Leptospirósis;Caninos;;Norte
2022;Ciudad Bolívar;5;Leptospirósis;Caninos;;Sur
2022;Distrito;1;Leptospirósis;Felinos;;
2022;Distrito;86;Leptospirósis;Caninos;;
2022;Engativá;1;Leptospirósis;Felinos;;Norte
2022;Engativá;5;Leptospirósis;Caninos;;Norte
2022;Fontibón;3;Leptospirósis;Caninos;;Sur Occidente
2022;Kennedy;6;Leptospirósis;Caninos;;Sur Occidente
2022;Los Mártires;2;Leptospirósis;Caninos;;Centro Oriente
2022;Puente Aranda;8;Leptospirósis;Caninos;;Sur Occidente
2022;Rafael Uribe;3;Leptospirósis;Caninos;;Centro Oriente
2022;San Cristobal;10;Leptospirósis;Caninos;;Centro Oriente
2022;Suba;14;Leptospirósis;Caninos;;Norte
2022;Sumapaz;1;Leptospirósis;Caninos;;Sur
2022;Teusaquillo;2;Leptospirósis;Caninos;;Norte
2022;Tunjuelito;1;Leptospirósis;Caninos;;Sur
2022;Usaquén;4;Leptospirósis;Caninos;;Norte
2022;Usme;1;Leptospirósis;Caninos;;Sur
2022;Distrito;1;Otro;Caninos;;
2022;Teusaquillo;1;Otro;Caninos;;Norte
2022;Distrito;6;Sarna Demodécica;Caninos;;
2022;Engativá;2;Sarna Demodécica;Caninos;;Norte
2022;San Cristobal;1;Sarna Demodécica;Caninos;;Centro Oriente
2022;Teusaquillo;1;Sarna Demodécica;Caninos;;Norte
2022;Usaquén;2;Sarna Demodécica;Caninos;;Norte
2022;Distrito;4;Sarna Sarcóptica;Felinos;;
2022;Distrito;2;Sarna Sarcóptica;Otro;;
2022;Distrito;4;Sarna Sarcóptica;Caninos;;
